name,id,path,gist_url
Inversiones y disposiciones del acorde,inversiones_y_disposiciones_del_acorde,Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Armonía/Acordes/Inversiones y disposiciones del acorde,https://gist.github.com/user/leximus_inversiones_y_disposiciones_del_acorde
Otros acordes marcados,otros_acordes_marcados,Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Armonía/Acordes/Otros acordes marcados,https://gist.github.com/user/leximus_otros_acordes_marcados
Tonalidades / Modos,tonalidades_modos,Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Armonía/Tonalidades / Modos,https://gist.github.com/user/leximus_tonalidades_modos
Funciones o relaciones tonales,funciones_o_relaciones_tonales,Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Armonía/Funciones o relaciones tonales,https://gist.github.com/user/leximus_funciones_o_relaciones_tonales
Derivadas melódicas de las estructuras armónicas,derivadas_melodicas_de_las_estructuras_armonicas,Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Armonía/Derivadas melódicas de las estructuras armónicas,https://gist.github.com/user/leximus_derivadas_melodicas_de_las_estructuras_armonicas
Técnicas compositivas relativas a la armonía,tecnicas_compositivas_relativas_a_la_armonia,Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Armonía/Técnicas compositivas relativas a la armonía,https://gist.github.com/user/leximus_tecnicas_compositivas_relativas_a_la_armonia
Símbolos y convenciones gráficas de la notación musical relativos a la dimensión espacial de la música,simbolos_y_convenciones_graficas_de_la_notacion_musical_relativos_a_la_dimension_espacial_de_la_musica,Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Símbolos y convenciones gráficas de la notación musical relativos a la dimensión espacial de la música,https://gist.github.com/user/leximus_simbolos_y_convenciones_graficas_de_la_notacion_musical_relativos_a_la_dimension_espacial_de_la_musica
Técnicas o sistemas empleados para cifrar acordes o codificar información armónica,tecnicas_o_sistemas_empleados_para_cifrar_acordes_o_codificar_informacion_armonica,Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Técnicas o sistemas empleados para cifrar acordes o codificar información armónica,https://gist.github.com/user/leximus_tecnicas_o_sistemas_empleados_para_cifrar_acordes_o_codificar_informacion_armonica
"Ornamentos, alteraciones o modificaciones relativas a la afinación de las alturas musicales lexicalizadas y/o convencionalizadas como indicaciones interpretativas",ornamentos_alteraciones_o_modificaciones_relativas_a_la_afinacion_de_las_alturas_musicales_lexicalizadas_y_o_convencionalizadas_como_indicaciones_interpretativas,"Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Ornamentos, alteraciones o modificaciones relativas a la afinación de las alturas musicales lexicalizadas y/o convencionalizadas como indicaciones interpretativas",https://gist.github.com/user/leximus_ornamentos_alteraciones_o_modificaciones_relativas_a_la_afinacion_de_las_alturas_musicales_lexicalizadas_y_o_convencionalizadas_como_indicaciones_interpretativas
Dimensión temporal del dato sonoro,dimension_temporal_del_dato_sonoro,Los nombres de la música/La música como ente acústico/Dimensión temporal del dato sonoro,https://gist.github.com/user/leximus_dimension_temporal_del_dato_sonoro
